1,agree,[自]賛成する
2,oppose,[他]～に反対する
3,advise,[他]～に忠告する
4,tip,[名]助言，ヒント
5,discuss,[他]～について話し合う，議論する
6,blame,[他]～に責任があるとする
7,argue,[他]（that S V）～と主張する
8,claim,[他]（that S V）～と主張する
9,complain,[自]文句を言う，苦情を言う
10,offer,[他]～を申し出る
11,suggest,[他]～を示唆する
12,recommend,[他]～を推薦する，勧める
13,grateful,[形]感謝している
14,apologize,[自]（to ～）（～に）謝る
15,excuse,[名]言い訳
16,celebrate,[他]～を祝う
17,admire,[他]～に感心する，称賛する
18,impress,[他]～に感銘を与える，～を感心させる
19,award,[名]賞
20,describe,[他]～を説明する
21,explain,[他]～を説明する
22,communicate,[自]（with ～）（～と）意思の疎通をはかる
23,express,[他]（意見，気持ち）を表現する
24,promise,[名]約束
25,information,[名]情報〈不可算〉
26,technology,[名]（科学）技術
27,research,[名]（学術）研究
28,material,[名]材料，生地
29,artificial,[形]人工的な
30,electric,[形]電気の，電動の
31,invent,[他]～を発明する
32,discover,[他]～を発見する
33,develop,[自]発達する
34,skill,[名]技術，力
35,ability,[名]能力
36,talent,[名]才能
37,effort,[名]努力
38,practice,[名]練習
39,game,[名]試合，ゲーム〈可算〉
40,achieve,[他]～を達成する
41,manage,[他]（to do）何とかして～する
42,improve,[他]～を改善する，磨く
43,produce,[他]～を生産する，産出する
44,create,[他]～を創造する
45,establish,[他]～を確立する，定着させる
46,save,[他]（時間，手間）を省く
47,medicine,[名]（for ～）（～の）薬
48,patient,[名]患者
49,condition,[名]状態，容態
50,medical,[形]医療の
51,stress,[名]ストレス
52,suffer,[自]（from ～）（病気などで）苦しむ
53,exercise,[名]運動
54,breathe,[自]呼吸する，息をする
55,thirsty,[形]のどが渇いた
56,physical,[形]身体的な
57,fever,[名]（体温の）熱
58,strength,[名]（physical －）体力
59,tear,[名]（通例 －s）涙〈可算〉
60,taste,[自]～の味がする
61,rule,[名]規則
62,role,[名]役割
63,habit,[名]習慣，癖
64,custom,[名]習慣
65,tradition,[名]伝統
66,society,[名]社会〈不可算〉
67,law,[名]（the－）（集合的に）法律，国法
68,ancestor,[名]祖先
69,population,[名]人口，個体数
70,native,[形]母国の，その土地の
71,abroad,[副]海外へ，海外で
72,local,[形]その土地の，地元の
73,survey,[名]調査〈可算〉
74,evidence,[名]証拠〈不可算〉
75,value,[名]価値
76,treasure,[名]財宝，宝
77,fashion,[名]流行
78,public,[名]（the －）大衆
79,vote,[名]投票（数）
80,government,[名]政府
